Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2025-01-08,MFP iOS calorie adjustment,Cardio,267.0,1,,,,10480,
2025-01-09,MFP iOS calorie adjustment,Cardio,164.0,1,,,,7319,
2025-01-10,MFP iOS calorie adjustment,Cardio,83.0,1,,,,4086,
2025-01-11,MFP iOS calorie adjustment,Cardio,85.0,1,,,,4167,
2025-01-12,MFP iOS calorie adjustment,Cardio,116.0,1,,,,5380,
2025-01-13,MFP iOS calorie adjustment,Cardio,134.0,1,,,,5858,
2025-01-14,MFP iOS calorie adjustment,Cardio,199.0,1,,,,8153,
2025-01-15,MFP iOS calorie adjustment,Cardio,127.0,1,,,,5759,
2025-01-16,MFP iOS calorie adjustment,Cardio,232.0,1,,,,9243,
2025-01-17,MFP iOS calorie adjustment,Cardio,302.0,1,,,,11588,
2025-01-18,MFP iOS calorie adjustment,Cardio,324.0,1,,,,12747,
2025-01-19,MFP iOS calorie adjustment,Cardio,67.0,1,,,,3441,
2025-01-20,MFP iOS calorie adjustment,Cardio,215.0,1,,,,8806,
2025-01-21,MFP iOS calorie adjustment,Cardio,43.0,1,,,,2690,
2025-01-22,MFP iOS calorie adjustment,Cardio,173.0,1,,,,7463,
2025-01-23,MFP iOS calorie adjustment,Cardio,130.0,1,,,,5352,
2025-01-24,MFP iOS calorie adjustment,Cardio,126.0,1,,,,5629,
2025-01-25,MFP iOS calorie adjustment,Cardio,93.0,1,,,,4177,
2025-01-26,MFP iOS calorie adjustment,Cardio,160.0,1,,,,7126,
2025-01-27,MFP iOS calorie adjustment,Cardio,207.0,1,,,,8378,
2025-01-28,MFP iOS calorie adjustment,Cardio,7.0,1,,,,1011,
2025-01-29,MFP iOS calorie adjustment,Cardio,140.0,1,,,,6165,
2025-01-30,MFP iOS calorie adjustment,Cardio,131.0,1,,,,6068,
2025-01-31,MFP iOS calorie adjustment,Cardio,149.0,1,,,,6772,
2025-02-01,MFP iOS calorie adjustment,Cardio,34.0,1,,,,2009,
2025-02-02,MFP iOS calorie adjustment,Cardio,54.0,1,,,,3090,
2025-02-03,MFP iOS calorie adjustment,Cardio,165.0,1,,,,6391,
2025-02-04,MFP iOS calorie adjustment,Cardio,93.0,1,,,,4705,
2025-02-05,MFP iOS calorie adjustment,Cardio,91.0,1,,,,4374,
2025-02-06,MFP iOS calorie adjustment,Cardio,14.0,1,,,,1489,
2025-02-07,MFP iOS calorie adjustment,Cardio,65.0,1,,,,3152,
2025-02-08,MFP iOS calorie adjustment,Cardio,157.0,1,,,,6594,
2025-02-09,MFP iOS calorie adjustment,Cardio,69.0,1,,,,3783,
2025-02-10,MFP iOS calorie adjustment,Cardio,85.0,1,,,,3867,
2025-02-11,MFP iOS calorie adjustment,Cardio,166.0,1,,,,6588,
2025-02-12,MFP iOS calorie adjustment,Cardio,63.0,1,,,,3155,
2025-02-13,MFP iOS calorie adjustment,Cardio,121.0,1,,,,4999,
2025-02-14,MFP iOS calorie adjustment,Cardio,53.0,1,,,,2745,
