Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2025-01-08,Breakfast,1754.5,27.3,10.7,2.5,3.6,0.0,203.3,1589.0,2413.6,260.6,31.3,60.8,123.8,0.1,160.1,84.5,85.8,
2025-01-08,Lunch,1169.9,33.1,6.1,8.6,10.6,0.0,576.0,2348.7,2475.3,19.8,7.8,1.8,186.5,0.0,2.3,6.1,32.9,
2025-01-09,Breakfast,1117.8,10.9,4.4,2.4,1.8,0.0,140.0,1024.4,1718.0,179.5,25.8,31.7,79.8,0.0,71.4,50.7,74.5,
2025-01-09,Dinner,391.6,6.8,0.1,0.1,0.1,0.0,0.0,423.1,358.3,50.5,3.0,1.5,29.6,0.0,152.2,6.2,14.2,
2025-01-09,Lunch,704.0,21.8,4.0,5.6,7.0,0.0,384.0,1412.0,1408.0,0.0,0.0,0.0,118.4,0.0,0.0,2.8,9.8,
2025-01-09,Snacks,183.6,3.0,1.8,0.4,0.2,0.0,70.0,201.4,235.2,12.4,2.8,2.5,28.2,0.0,0.0,22.5,11.3,
2025-01-10,Breakfast,529.1,7.0,3.7,1.1,0.8,0.0,140.0,222.8,919.8,63.6,9.0,24.7,56.5,0.0,29.6,42.9,26.2,
2025-01-10,Dinner,998.8,24.4,7.6,3.7,10.2,0.8,370.8,1044.4,2568.3,61.9,8.4,4.1,128.5,0.4,355.5,16.4,57.1,
2025-01-10,Lunch,659.8,11.6,2.2,3.0,3.6,0.0,192.0,1095.1,973.3,71.8,5.4,20.9,63.9,0.0,15.3,4.2,16.6,
2025-01-10,Snacks,493.7,9.8,2.2,1.0,0.0,0.0,70.0,312.4,564.7,49.0,3.9,22.4,52.4,0.0,23.6,20.6,8.0,
2025-01-11,Breakfast,2350.3,72.4,26.2,13.0,22.4,0.0,1184.1,3816.9,3531.8,222.2,30.4,37.2,201.1,0.3,196.7,115.9,109.8,
2025-01-11,Dinner,364.4,7.5,3.0,0.5,3.6,0.4,107.2,131.8,974.3,23.4,2.1,6.1,51.3,0.2,32.8,20.9,21.5,
2025-01-12,Breakfast,754.0,7.5,3.8,1.2,0.9,0.0,140.0,610.2,1003.6,113.1,10.5,28.5,60.9,0.0,35.6,44.7,37.2,
2025-01-12,Dinner,1192.2,16.9,3.9,3.4,5.6,0.2,255.3,1551.2,3269.6,129.1,19.5,15.3,128.0,0.4,278.6,45.5,64.3,
2025-01-12,Lunch,352.0,10.9,2.0,2.8,3.5,0.0,192.0,706.0,704.0,0.0,0.0,0.0,59.2,0.0,0.0,1.4,4.9,
2025-01-12,Snacks,200.4,0.9,0.3,0.1,0.1,0.0,8.2,60.8,444.3,33.5,4.8,26.1,17.3,0.0,15.3,19.3,1.9,
2025-01-13,Breakfast,703.7,9.8,4.2,2.1,1.6,0.0,140.0,225.6,1094.9,96.3,14.0,28.8,62.1,0.0,35.6,45.2,36.3,
2025-01-13,Dinner,368.2,6.9,3.7,0.1,0.0,0.0,20.0,267.6,1711.0,59.0,10.3,4.9,18.4,4.3,389.7,27.3,19.4,
2025-01-13,Lunch,851.5,23.2,4.7,2.3,5.9,0.4,251.0,691.5,1421.8,20.5,2.4,11.6,135.7,0.1,152.2,45.7,24.4,
2025-01-13,Snacks,556.3,10.9,2.0,2.7,3.4,0.0,182.4,1092.1,729.0,48.2,0.7,0.1,60.9,0.0,0.0,3.0,16.0,
2025-01-14,Breakfast,1102.0,16.0,5.2,3.6,3.4,0.0,236.0,1000.9,2096.7,136.9,25.8,31.9,105.8,0.0,114.8,51.1,67.6,
2025-01-14,Dinner,595.9,12.7,2.3,3.2,3.8,0.0,211.2,842.3,2057.7,43.5,7.7,3.7,73.0,0.3,292.3,10.7,19.8,
2025-01-14,Lunch,176.0,5.5,1.0,1.4,1.7,0.0,96.0,353.0,352.0,0.0,0.0,0.0,29.6,0.0,0.0,0.7,2.4,
2025-01-14,Snacks,550.2,6.2,2.3,0.2,0.0,0.0,95.0,245.4,1522.6,65.8,8.6,11.6,59.6,827.1,92.7,50.5,20.9,
2025-01-15,Breakfast,529.1,7.0,3.7,1.1,0.8,0.0,140.0,222.8,919.8,63.6,9.0,24.7,56.5,0.0,29.6,42.9,26.2,
2025-01-15,Dinner,686.0,11.4,2.1,3.0,3.6,0.0,192.0,2732.4,1712.0,70.7,5.2,1.8,69.5,0.3,75.2,5.1,21.7,
