date,source_file,food,amount,amount (g),calories,carbs (grams),fat (grams),protein (grams),cholesterol (mg),sodium (mg),sugar (grams),fiber (grams)
"Jun 1, 2025",06010714,Kikkoman - Soy Sauce,57 ml,57.0,38,4,0,8,0,3496,4,0
"Jun 1, 2025",06010714,"White rice, cooked",321 g,321.0,414,90,1,9,0,786,0,1
"Jun 1, 2025",06010714,Quaker - Apple Cinnamon Rice Cakes,3 cake,,150,33,0,2,0,0,9,0
"Jun 1, 2025",06010714,"Chicken breast, grilled, skinless",141 g,141.0,248,0,8,42,135,498,0,0
"Jun 1, 2025",06010714,"Killer Brownie - Brownie, Chocolatier",4 piece,,520,72,24,4,20,240,52,4
"Jun 1, 2025",06010714,Santitas Tortilla Chips - Tortilla Chips,83 gram,83.0,410,56,18,6,0,337,0,6
"Jun 1, 2025",06010714,"Signature Farms - Almonds, Chocolate Covered",132 g,132.0,680,72,44,12,20,80,64,4
"Jun 1, 2025",06010714,Fage - Total 0% Greek Yogurt,370 g,370.0,197,12,0,39,25,136,12,0
"Jun 1, 2025",06010714,"Chicken breast, grilled, skinless",77 g,77.0,136,0,4,23,74,272,0,0
"Jun 1, 2025",06010714,Generic - Baby carrots,186 g,186.0,76,18,0,2,0,128,9,5
"Jun 1, 2025",06010714,Optimum Nutrition - Protein,1 Scoop,,120,3,1,24,30,130,1,0
"Jun 1, 2025",06010714,Fage - Total 0% Greek Yogurt,164 g,164.0,87,5,0,17,11,60,5,0
"Jun 2, 2025",06010714,Honey,30 g,30.0,91,25,0,0,0,1,25,0
"Jun 2, 2025",06010714,Libby's - Pure Pumpkin,452 g,452.0,167,37,2,4,0,19,19,11
"Jun 2, 2025",06010714,"G Hughes - BBQ Sauce, Hickory",33 g,33.0,11,2,0,0,0,220,0,0
"Jun 2, 2025",06010714,"White rice, cooked",197 g,197.0,254,55,1,5,0,483,0,1
"Jun 2, 2025",06010714,Senesi - Butter Beans,253 g,253.0,272,49,2,18,0,448,0,18
"Jun 2, 2025",06010714,"Kale, raw",78 gram,78.0,27,3,1,2,0,41,1,3
"Jun 2, 2025",06010714,"Chicken breast, grilled, skinless",121 g,121.0,213,0,7,36,116,427,0,0
"Jun 2, 2025",06010714,"White rice, cooked",367 g,367.0,473,103,1,10,0,899,0,1
"Jun 2, 2025",06010714,Fage - Total 0% Greek Yogurt,301 g,301.0,161,10,0,32,20,110,10,0
"Jun 2, 2025",06010714,"White rice, cooked",187 g,187.0,241,52,1,5,0,458,0,1
"Jun 2, 2025",06010714,"Chicken breast, grilled, skinless",124 g,124.0,218,0,7,37,119,438,0,0
"Jun 2, 2025",06010714,Optimum Nutrition - Protein,2 Scoop,,240,6,2,48,60,260,2,0
